iteracao,id_selecionado,tempo_resposta_llm_ms,tempo_iteracao_ms,resposta_llm
58,128,190621,190625,[211]
59,386,191012,191017,"[9, 14, 285, 354, 386]"
60,272,172055,172060,"[17, 24, 32, 72, 76, 99, 148, 150, 161, 164, 254, 272, 278, 281, 283, 300, 306, 382, 390, 412, 420, 463]"
61,119,111468,111476,"[10, 27, 30, 38, 93, 119, 143, 202, 228, 239, 325, 337, 341, 418, 438, 442, 455, 468, 483]"
62,275,166368,166371,"[29, 30, 38, 57, 74, 104, 122, 134, 152, 203, 206, 275, 279, 298, 311, 426, 441, 457, 495]"
63,3,154968,154973,"[3, 254, 257, 300, 344, 350, 405]"
64,469,200012,200020,"[4, 60, 79, 86, 106, 313, 414, 469]"
65,500,239199,239205,"[29, 35, 37, 48, 55, 58, 82, 142, 180, 262, 278, 287, 306, 340, 389, 398, 428, 432, 452, 462, 499, 500]"
66,202,199836,199840,"[10, 54, 92, 119, 316, 317, 393, 411, 419]"
67,358,84994,85002,"[8, 19, 40, 57, 75, 90, 118, 139, 140, 156, 194, 201, 238, 267, 280, 358, 385, 413, 436, 448, 470, 490]"
68,380,197390,197397,"[4, 30, 36, 53, 57, 80, 81, 144, 195, 252, 290, 336, 340, 341, 365, 380, 421]"
69,55,201528,201532,"[43, 120, 142, 207, 242, 313, 334, 368, 392, 398, 451]"
70,396,141378,141385,"[9, 11, 25, 42, 71, 73, 83, 104, 115, 119, 127, 134, 140, 148, 170, 190, 192, 209, 215, 246, 259, 267, 279, 280, 285, 308, 311, 396, 443, 458, 460, 474]"
71,412,233149,233152,"[8, 106, 128, 210, 213, 375, 412, 450, 453]"
72,347,142697,142702,"[225, 310, 356, 382, 415, 467]"
73,117,208262,208264,"[5, 12, 66, 184, 187, 205, 333, 357, 489]"
74,498,205074,205077,"[94, 301, 318, 351, 379, 495, 498]"
75,60,170434,170439,"[14, 60, 79, 86, 277, 329, 406, 469]"
76,368,213763,213766,"[9, 11, 29, 42, 64, 69, 77, 104, 107, 112, 134, 278, 279, 289, 298, 312, 321, 322, 352, 363, 368, 386, 398, 438, 440, 443, 459, 460, 474, 494, 499, 500]"
77,298,246425,246429,"[19, 51, 75, 87, 88, 93, 105, 134, 142, 157, 173, 190, 196, 242, 272, 278, 279, 298, 363, 390, 426, 488, 495, 497, 500]"
78,491,97905,97907,"[48, 53, 54, 60, 86, 125, 151, 168, 178, 196, 202, 244, 269, 366, 393, 416, 417, 493]"
79,469,144413,144415,"[60, 79, 256, 301, 345, 355, 403, 422, 469]"
80,417,110042,110044,"[37, 54, 55, 61, 88, 95, 108, 124, 143, 154, 202, 216, 225, 251, 312, 328, 393, 400, 403, 411, 416, 417, 419, 422, 438, 442, 466, 468, 478, 488]"
81,417,120780,120783,"[27, 44, 68, 78, 84, 131, 202, 214, 216, 315, 337, 338, 366, 400, 403, 404, 406, 417, 421, 435, 439, 442, 493]"
82,174,107223,107230,"[83, 118, 174, 209, 242, 250, 257, 289, 362, 401]"
83,169,100536,100543,"[62, 166, 169]"
84,355,166045,166053,"[274, 322, 328, 354, 355, 408, 440]"
85,9,135420,135427,"[9, 73, 83, 149, 261, 274, 285, 353, 395]"
86,43,139095,139101,"[15, 21, 43, 67, 75, 159, 226, 237, 250, 433, 464, 487]"
87,424,117787,117796,"[53, 269, 371, 393, 421]"
88,84,119101,119105,"[50, 84, 86, 90, 116, 131, 133, 154, 160, 191, 197, 208, 216, 267, 328, 335, 396, 417, 435, 438, 461, 466]"
89,54,231143,231150,"[41, 49, 54, 55, 66, 90, 107, 121, 130, 139, 141, 144, 146, 156, 182, 187, 210, 233, 235, 245, 269, 270, 288, 299, 304, 317, 338, 363, 369, 385, 400, 406, 407, 411, 413, 416, 417, 419, 439, 445, 449, 477]"
90,104,183679,183685,"[7, 29, 35, 59, 93, 104, 122, 126, 189, 190, 192, 206, 242, 275, 278, 280, 284, 298, 305, 309, 312, 315, 321, 331, 397, 408, 420, 426, 429, 432, 462, 468, 486]"
91,212,95651,95654,"[18, 30, 42, 103, 124, 168, 190, 212, 242, 269, 382, 442, 468]"
92,307,218193,218195,"[23, 35, 178, 307, 432, 441]"
93,261,191486,191488,"[4, 27, 38, 190, 199, 261, 285, 311, 335, 374, 426]"
94,55,227395,227398,"[20, 31, 55, 115, 182, 193, 217, 233, 270, 290, 291, 449, 450]"
95,402,140356,140362,"[136, 189, 229, 279, 300, 402, 441, 463, 474]"
96,31,239658,239661,"[17, 20, 31, 48, 64, 76, 91, 169, 185, 217, 250, 254, 365, 390, 412, 414, 450, 453, 472, 494]"
97,397,253892,253898,"[27, 44, 73, 81, 93, 97, 104, 122, 138, 166, 201, 203, 230, 239, 242, 258, 280, 289, 298, 312, 322, 335, 341, 348, 363, 391, 397, 402, 421, 454, 487, 488]"
98,109,118630,118632,"[32, 109, 141, 385, 444, 456]"
99,262,189522,189527,"[142, 262, 278, 295, 408, 500]"
100,1,178059,178061,"[202, 204, 286, 317, 376, 380]"
101,254,233380,233387,"[25, 31, 55, 91, 92, 96, 120, 130, 142, 200, 233, 243, 254, 274, 276, 299, 313, 346, 353, 412, 427, 453, 459, 470, 500]"
102,23,98597,98603,"[23, 63, 160, 165, 204, 272, 273, 291, 294, 318, 378, 384, 392, 427, 442, 446, 476, 477]"
103,41,247464,247471,"[19, 41, 54, 90, 108, 148, 156, 161, 233, 272, 278, 288, 307, 317, 379, 390, 407, 419, 470, 498]"
104,332,111683,111691,"[69, 141, 153, 253, 323, 332, 333, 361, 432, 448]"
105,199,157497,157503,"[34, 122, 190, 199, 261, 311, 320, 338, 454, 483]"
106,490,207243,207245,"[74, 91, 121, 313, 449, 459, 475, 490]"
107,181,142886,142888,"[10, 119, 181, 240, 244, 337, 345, 442, 455, 460]"
108,172,105456,105458,"[104, 133, 172, 197, 361, 431, 458, 486]"
